source_path,still_resolves,full_chain,final_url,final_status,expected_targets,result
/podcast/the-compendium-of-fascinating-things/episode/knoedler-gallery-scandal-the-greatest-art-fraud-of-the-century,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/knoedler-gallery-scandal-the-greatest-art-fraud-of-the-century | 200 https://www.thecompendiumpodcast.com/episodes/knoedler-gallery-scandal-the-greatest-art-fraud-of-the-century,https://www.thecompendiumpodcast.com/episodes/knoedler-gallery-scandal-the-greatest-art-fraud-of-the-century,200,/episodes/knoedler-gallery-scandal-the-greatest-art-fraud-of-the-century,correct
/podcast/the-compendium-of-fascinating-things/episode/kony-2012-how-social-media-tried-to-stop-a-war,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/kony-2012-how-social-media-tried-to-stop-a-war | 200 https://www.thecompendiumpodcast.com/episodes/kony-2012-how-social-media-tried-to-stop-a-war,https://www.thecompendiumpodcast.com/episodes/kony-2012-how-social-media-tried-to-stop-a-war,200,/episodes/kony-2012-how-social-media-tried-to-stop-a-war,correct
/podcast/the-compendium-of-fascinating-things/episode/lars-mittank-from-airport-cctv-to-an-unsolved-mystery,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/lars-mittank-from-airport-cctv-to-an-unsolved-mystery | 200 https://www.thecompendiumpodcast.com/episodes/lars-mittank-from-airport-cctv-to-an-unsolved-mystery,https://www.thecompendiumpodcast.com/episodes/lars-mittank-from-airport-cctv-to-an-unsolved-mystery,200,/episodes/lars-mittank-from-airport-cctv-to-an-unsolved-mystery,correct
/podcast/the-compendium-of-fascinating-things/episode/lover-stalker-killer-disturbing-love-triangle-turned-deadly,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/lover-stalker-killer-disturbing-love-triangle-turned-deadly | 200 https://www.thecompendiumpodcast.com/episodes/lover-stalker-killer-disturbing-love-triangle-turned-deadly,https://www.thecompendiumpodcast.com/episodes/lover-stalker-killer-disturbing-love-triangle-turned-deadly,200,/episodes/lover-stalker-killer-disturbing-love-triangle-turned-deadly,correct
/podcast/the-compendium-of-fascinating-things/episode/lucy-letby-did-she-really-kill-these-babies,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/lucy-letby-did-she-really-kill-these-babies | 200 https://www.thecompendiumpodcast.com/episodes/lucy-letby-did-she-really-kill-these-babies,https://www.thecompendiumpodcast.com/episodes/lucy-letby-did-she-really-kill-these-babies,200,/episodes/lucy-letby-did-she-really-kill-these-babies,correct
/podcast/the-compendium-of-fascinating-things/episode/michael-alig-glitz-glamour-and-killing-for-fame,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/michael-alig-glitz-glamour-and-killing-for-fame | 200 https://www.thecompendiumpodcast.com/episodes/michael-alig-glitz-glamour-and-killing-for-fame,https://www.thecompendiumpodcast.com/episodes/michael-alig-glitz-glamour-and-killing-for-fame,200,/episodes/michael-alig-glitz-glamour-and-killing-for-fame,correct
/podcast/the-compendium-of-fascinating-things/episode/millennium-dome-diamond-heist-the-plot-to-steal-the-worlds-most-flawless-diamond,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/millennium-dome-diamond-heist-the-plot-to-steal-the-worlds-most-flawless-diamond | 200 https://www.thecompendiumpodcast.com/episodes/millennium-dome-diamond-heist-the-plot-to-steal-the-worlds-most-flawless-diamond,https://www.thecompendiumpodcast.com/episodes/millennium-dome-diamond-heist-the-plot-to-steal-the-worlds-most-flawless-diamond,200,/episodes/millennium-dome-diamond-heist-the-plot-to-steal-the-worlds-most-flawless-diamond,correct
/podcast/the-compendium-of-fascinating-things/episode/milli-vanilli-the-real-story-behind-greatest-lip-sync-scandal-in-music-history,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/milli-vanilli-the-real-story-behind-greatest-lip-sync-scandal-in-music-history | 200 https://www.thecompendiumpodcast.com/episodes/milli-vanilli-the-real-story-behind-greatest-lip-sync-scandal-in-music-history,https://www.thecompendiumpodcast.com/episodes/milli-vanilli-the-real-story-behind-greatest-lip-sync-scandal-in-music-history,200,/episodes/milli-vanilli-the-real-story-behind-greatest-lip-sync-scandal-in-music-history,correct
/podcast/the-compendium-of-fascinating-things/episode/monster-of-florence-the-real-life-horror-behind-an-italian-legend,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/monster-of-florence-the-real-life-horror-behind-an-italian-legend | 200 https://www.thecompendiumpodcast.com/episodes/monster-of-florence-the-real-life-horror-behind-an-italian-legend,https://www.thecompendiumpodcast.com/episodes/monster-of-florence-the-real-life-horror-behind-an-italian-legend,200,/episodes/monster-of-florence-the-real-life-horror-behind-an-italian-legend,correct
/podcast/the-compendium-of-fascinating-things/episode/nuns-on-the-run-how-eight-belgian-nuns-outsmarted-the-church,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/nuns-on-the-run-how-eight-belgian-nuns-outsmarted-the-church | 200 https://www.thecompendiumpodcast.com/episodes/nuns-on-the-run-how-eight-belgian-nuns-outsmarted-the-church,https://www.thecompendiumpodcast.com/episodes/nuns-on-the-run-how-eight-belgian-nuns-outsmarted-the-church,200,/episodes/nuns-on-the-run-how-eight-belgian-nuns-outsmarted-the-church,correct
