source_path,target_url,expected_target,status_code,match_type,priority,created_at,updated_at
/podcast/the-compendium-of-fascinating-things/episode/princess-diana-part-2-the-truth-behind-her-divorce-from-charles-and-the-royal-fallout,/episodes/princess-diana-part-2-the-truth-behind-her-divorce-from-charles-and-the-royal-fallout,/episodes/princess-diana-part-2-the-truth-behind-her-divorce-from-charles-and-the-royal-fallout,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/princess-diana-part-3-the-final-year-the-fatal-chase-the-last-goodbye,/episodes/princess-diana-part-3-the-final-year-the-fatal-chase-the-last-goodbye,/episodes/princess-diana-part-3-the-final-year-the-fatal-chase-the-last-goodbye,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/reeva-steenkamp-the-night-oscar-pistorius-pulled-the-trigger,/episodes/reeva-steenkamp-the-night-oscar-pistorius-pulled-the-trigger,/episodes/reeva-steenkamp-the-night-oscar-pistorius-pulled-the-trigger,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/revisited-db-cooper-the-man-the-myth-the-unresolved-hijacking,/episodes/revisited-db-cooper-the-man-the-myth-the-unresolved-hijacking,/episodes/revisited-db-cooper-the-man-the-myth-the-unresolved-hijacking,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/revisited-house-of-gucci-a-tale-of-glamour-greed-and-grudges,/episodes/revisited-house-of-gucci-a-tale-of-glamour-greed-and-grudges,/episodes/revisited-house-of-gucci-a-tale-of-glamour-greed-and-grudges,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/revisited-nuns-on-the-run-how-eight-belgian-nuns-outsmarted-the-church,/episodes/revisited-nuns-on-the-run-how-eight-belgian-nuns-outsmarted-the-church,/episodes/revisited-nuns-on-the-run-how-eight-belgian-nuns-outsmarted-the-church,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/revisited-oj-simpson-i-did-it-unraveling-the-trial-of-the-century,/episodes/revisited-oj-simpson-i-did-it-unraveling-the-trial-of-the-century,/episodes/revisited-oj-simpson-i-did-it-unraveling-the-trial-of-the-century,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/revisited-the-chippendales-a-story-of-fame-money-and-murder,/episodes/revisited-the-chippendales-a-story-of-fame-money-and-murder,/episodes/revisited-the-chippendales-a-story-of-fame-money-and-murder,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/revisited-the-menendez-brothers-the-lyle-and-erik-menendez-story,/episodes/revisited-the-menendez-brothers-the-lyle-and-erik-menendez-story,/episodes/revisited-the-menendez-brothers-the-lyle-and-erik-menendez-story,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/revisited-the-miracle-of-the-andes-the-story-of-a-group-of-survivors-of-a-plane-crash-in-the-andes-in-1972,/episodes/revisited-the-miracle-of-the-andes-the-story-of-a-group-of-survivors-of-a-plane-crash-in-the-andes-in-1972,/episodes/revisited-the-miracle-of-the-andes-the-story-of-a-group-of-survivors-of-a-plane-crash-in-the-andes-in-1972,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/revisited-the-mysterious-death-of-jonbenet-ramsey-a-closer-look-into-this-tragic-murder,/episodes/revisited-the-mysterious-death-of-jonbenet-ramsey-a-closer-look-into-this-tragic-murder,/episodes/revisited-the-mysterious-death-of-jonbenet-ramsey-a-closer-look-into-this-tragic-murder,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/revisited-the-titanic-part-1-the-people-the-passions-the-legend,/episodes/revisited-the-titanic-part-1-the-people-the-passions-the-legend,/episodes/revisited-the-titanic-part-1-the-people-the-passions-the-legend,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/roald-dahl-a-life-shaped-by-war-words-and-whimsy,/episodes/roald-dahl-a-life-shaped-by-war-words-and-whimsy,/episodes/roald-dahl-a-life-shaped-by-war-words-and-whimsy,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/roar-the-story-of-the-most-dangerous-film-ever-made,/episodes/roar-the-story-of-the-most-dangerous-film-ever-made,/episodes/roar-the-story-of-the-most-dangerous-film-ever-made,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/rudy-kurniawan-the-man-who-duped-the-elite-with-fake-fine-wines,/episodes/rudy-kurniawan-the-man-who-duped-the-elite-with-fake-fine-wines,/episodes/rudy-kurniawan-the-man-who-duped-the-elite-with-fake-fine-wines,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/scientology-understanding-their-beliefs-practices-and-scandals,/episodes/scientology-understanding-their-beliefs-practices-and-scandals,/episodes/scientology-understanding-their-beliefs-practices-and-scandals,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/secret-mall-apartment-how-an-artist-lived-in-a-mall-for-4-years-without-getting-caught,/episodes/secret-mall-apartment-how-an-artist-lived-in-a-mall-for-4-years-without-getting-caught,/episodes/secret-mall-apartment-how-an-artist-lived-in-a-mall-for-4-years-without-getting-caught,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/sixto-rodriguez-the-story-of-an-unknown-musician-who-inspired-a-revolution,/episodes/sixto-rodriguez-the-story-of-an-unknown-musician-who-inspired-a-revolution,/episodes/sixto-rodriguez-the-story-of-an-unknown-musician-who-inspired-a-revolution,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/space-cadets-how-a-british-reality-show-convinced-contestants-they-were-in-space,/episodes/space-cadets-how-a-british-reality-show-convinced-contestants-they-were-in-space,/episodes/space-cadets-how-a-british-reality-show-convinced-contestants-they-were-in-space,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/survival-at-sea-the-harrowing-tale-of-the-trashman-yacht-sinking,/episodes/survival-at-sea-the-harrowing-tale-of-the-trashman-yacht-sinking,/episodes/survival-at-sea-the-harrowing-tale-of-the-trashman-yacht-sinking,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/terminal-man-the-refugee-who-waited-at-an-airport-for-18-years,/episodes/terminal-man-the-refugee-who-waited-at-an-airport-for-18-years,/episodes/terminal-man-the-refugee-who-waited-at-an-airport-for-18-years,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/the-2019-ebay-stalking-scandal-when-tech-giants-become-stalkers,/episodes/the-2019-ebay-stalking-scandal-when-tech-giants-become-stalkers,/episodes/the-2019-ebay-stalking-scandal-when-tech-giants-become-stalkers,301,exact,100,2026-03-04T22:16:07.259218+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/the-alcatraz-escape-the-unbelievable-true-story-of-the-great-prison-break,/episodes/the-alcatraz-escape-the-unbelievable-true-story-of-the-great-prison-break,/episodes/the-alcatraz-escape-the-unbelievable-true-story-of-the-great-prison-break,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/the-compendium-an-assembly-of-fascinating-things,/episodes/the-compendium-an-assembly-of-fascinating-things,/episodes/the-compendium-an-assembly-of-fascinating-things,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-05T21:01:41.898097+00:00
/podcast/the-compendium-of-fascinating-things/episode/the-crazy-story-of-tetris-from-ussr-blocks-to-usa-stardom,/episodes/the-crazy-story-of-tetris-from-ussr-blocks-to-usa-stardom,/episodes/the-crazy-story-of-tetris-from-ussr-blocks-to-usa-stardom,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/the-disappearance-of-emanuela-orlandi-pt-1,/episodes/the-disappearance-of-emanuela-orlandi-pt-1,/episodes/the-disappearance-of-emanuela-orlandi-pt-1,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/the-disappearance-of-emanuela-orlandi-pt-2,/episodes/the-disappearance-of-emanuela-orlandi-pt-2,/episodes/the-disappearance-of-emanuela-orlandi-pt-2,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
