source_path,target_url,status_code,match_type,is_active,priority,source_type,source_ref,created_at,updated_at
/podcast/the-compendium-of-fascinating-things/episode/exploring-bigfoot-a-myth-or-reality,/episodes/exploring-bigfoot-a-myth-or-reality,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/frida-kahlo-pain-politics-and-the-self-portraits-that-made-an-icon,/episodes/frida-kahlo-pain-politics-and-the-self-portraits-that-made-an-icon,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/fyre-festival-the-greatest-party-that-never-happened,/episodes/fyre-festival-the-greatest-party-that-never-happened,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/gabby-petito-a-van-life-dream-that-ended-in-tragedy,/episodes/gabby-petito-the-van-life-dream-that-ended-in-tragedy,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/gunthers-millions-the-unbelievable-story-and-scam-behind-the-worlds-richest-dog,/episodes/gunther-s-millions-the-unbelievable-story-and-scam-behind-the-world-s-richest-dog,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/guy-fawkes-treason-torture-and-the-birth-of-bonfire-night,/episodes/guy-fawkes-treason-torture-and-the-birth-of-bonfire-night,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/gypsy-rose-blanchard-the-chilling-reality-behind-the-illusion,/episodes/gypsy-rose-blanchard-the-chilling-reality-behind-the-illusion,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/heavens-gate-cult-between-devotion-and-delusion,/episodes/heaven-s-gate-cult-between-devotion-and-delusion,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/helter-skelter-how-a-beatles-song-led-to-the-manson-murders,/episodes/chaos-charles-manson-and-the-manson-murders,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/hillside-strangler-murder-in-the-shadows-of-los-angeles,/episodes/hillside-strangler-murder-in-the-shadows-of-los-angeles,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/hiroo-onoda-the-last-japanese-soldier-who-kept-on-fighting-after-ww2-had-finished,/episodes/hiroo-onoda-the-last-japanese-soldier-who-kept-on-fighting-after-ww2-had-finished,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/house-of-gucci-a-tale-of-glamour-greed-and-grudges,/episodes/house-of-gucci-a-tale-of-glamour-greed-and-grudges,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/imelda-marcos-corruption-power-6000-pairs-of-shoes,/episodes/imelda-marcos-corruption-power-6-000-pairs-of-shoes,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/inside-scientology-david-miscavige-and-the-vanishing-of-shelly-miscavige,/episodes/inside-scientology-david-miscavige-and-the-vanishing-of-shelly-miscavige,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/jennifer-fairgate-the-woman-with-no-past,/episodes/jennifer-fairgate-the-woman-with-no-past,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
